NameOfProblem	QI	Algo	Counter	Percentage
RA	HV	CELLDE	0	0
RA	HV	MOCELL	3	0.6
RA	HV	NSGA-II	5	1
RA	HV	PAES	2	0.4
RA	HV	SMPSO	1	0.2
RA	HV	SPEA2	4	0.8
RA	HV	ND	0	0
RA	IGD	CELLDE	0	0
RA	IGD	MOCELL	3	0.6
RA	IGD	NSGA-II	5	1
RA	IGD	PAES	2	0.4
RA	IGD	SMPSO	1	0.2
RA	IGD	SPEA2	4	0.8
RA	IGD	ND	0	0
RA	EP	CELLDE	0	0
RA	EP	MOCELL	3	0.6
RA	EP	NSGA-II	5	1
RA	EP	PAES	2	0.4
RA	EP	SMPSO	1	0.2
RA	EP	SPEA2	4	0.8
RA	EP	ND	0	0
RA	GD	CELLDE	2	0.4
RA	GD	MOCELL	0	0
RA	GD	NSGA-II	5	1
RA	GD	PAES	3	0.6
RA	GD	SMPSO	1	0.2
RA	GD	SPEA2	4	0.8
RA	GD	ND	0	0
RA	GS	CELLDE	4	0.8
RA	GS	MOCELL	0	0
RA	GS	NSGA-II	4	0.8
RA	GS	PAES	1	0.2
RA	GS	SMPSO	1	0.2
RA	GS	SPEA2	1	0.2
RA	GS	ND	4	0.266666666666667
RA	ED	CELLDE	4	0.8
RA	ED	MOCELL	0	0
RA	ED	NSGA-II	3	0.6
RA	ED	PAES	1	0.2
RA	ED	SMPSO	5	1
RA	ED	SPEA2	2	0.4
RA	ED	ND	0	0
RA	PFS	CELLDE	2	0.4
RA	PFS	MOCELL	0	0
RA	PFS	NSGA-II	4	0.8
RA	PFS	PAES	4	0.8
RA	PFS	SMPSO	1	0.2
RA	PFS	SPEA2	3	0.6
RA	PFS	ND	1	0.0666666666666667
RA	C	CELLDE	0	0
RA	C	MOCELL	0	0
RA	C	NSGA-II	3	0.6
RA	C	PAES	0	0
RA	C	SMPSO	0	0
RA	C	SPEA2	0	0
RA	C	ND	12	0.8
TS	HV	CELLDE	1	0.2
TS	HV	MOCELL	2	0.4
TS	HV	NSGA-II	5	1
TS	HV	PAES	0	0
TS	HV	SMPSO	2	0.4
TS	HV	SPEA2	3	0.6
TS	HV	ND	2	0.133333333333333
TS	IGD	CELLDE	1	0.2
TS	IGD	MOCELL	3	0.6
TS	IGD	NSGA-II	4	0.8
TS	IGD	PAES	0	0
TS	IGD	SMPSO	2	0.4
TS	IGD	SPEA2	5	1
TS	IGD	ND	0	0
TS	EP	CELLDE	2	0.4
TS	EP	MOCELL	1	0.2
TS	EP	NSGA-II	5	1
TS	EP	PAES	0	0
TS	EP	SMPSO	4	0.8
TS	EP	SPEA2	3	0.6
TS	EP	ND	0	0
TS	GD	CELLDE	1	0.2
TS	GD	MOCELL	3	0.6
TS	GD	NSGA-II	4	0.8
TS	GD	PAES	0	0
TS	GD	SMPSO	2	0.4
TS	GD	SPEA2	5	1
TS	GD	ND	0	0
TS	GS	CELLDE	4	0.8
TS	GS	MOCELL	1	0.2
TS	GS	NSGA-II	2	0.4
TS	GS	PAES	0	0
TS	GS	SMPSO	3	0.6
TS	GS	SPEA2	5	1
TS	GS	ND	0	0
TS	ED	CELLDE	1	0.2
TS	ED	MOCELL	3	0.6
TS	ED	NSGA-II	4	0.8
TS	ED	PAES	0	0
TS	ED	SMPSO	2	0.4
TS	ED	SPEA2	5	1
TS	ED	ND	0	0
TS	PFS	CELLDE	1	0.2
TS	PFS	MOCELL	1	0.2
TS	PFS	NSGA-II	3	0.6
TS	PFS	PAES	1	0.2
TS	PFS	SMPSO	0	0
TS	PFS	SPEA2	3	0.6
TS	PFS	ND	6	0.4
TS	C	CELLDE	0	0
TS	C	MOCELL	0	0
TS	C	NSGA-II	2	0.4
TS	C	PAES	0	0
TS	C	SMPSO	0	0
TS	C	SPEA2	2	0.4
TS	C	ND	11	0.733333333333333
TRA	HV	CELLDE	4	0.8
TRA	HV	MOCELL	0	0
TRA	HV	NSGA-II	2	0.4
TRA	HV	PAES	0	0
TRA	HV	SMPSO	5	1
TRA	HV	SPEA2	3	0.6
TRA	HV	ND	1	0.0666666666666667
TRA	IGD	CELLDE	4	0.8
TRA	IGD	MOCELL	0	0
TRA	IGD	NSGA-II	1	0.2
TRA	IGD	PAES	1	0.2
TRA	IGD	SMPSO	5	1
TRA	IGD	SPEA2	3	0.6
TRA	IGD	ND	1	0.0666666666666667
TRA	EP	CELLDE	4	0.8
TRA	EP	MOCELL	0	0
TRA	EP	NSGA-II	2	0.4
TRA	EP	PAES	0	0
TRA	EP	SMPSO	5	1
TRA	EP	SPEA2	3	0.6
TRA	EP	ND	1	0.0666666666666667
TRA	GD	CELLDE	5	1
TRA	GD	MOCELL	2	0.4
TRA	GD	NSGA-II	3	0.6
TRA	GD	PAES	1	0.2
TRA	GD	SMPSO	4	0.8
TRA	GD	SPEA2	0	0
TRA	GD	ND	0	0
TRA	GS	CELLDE	5	1
TRA	GS	MOCELL	1	0.2
TRA	GS	NSGA-II	0	0
TRA	GS	PAES	2	0.4
TRA	GS	SMPSO	4	0.8
TRA	GS	SPEA2	3	0.6
TRA	GS	ND	0	0
TRA	ED	CELLDE	5	1
TRA	ED	MOCELL	0	0
TRA	ED	NSGA-II	1	0.2
TRA	ED	PAES	1	0.2
TRA	ED	SMPSO	4	0.8
TRA	ED	SPEA2	3	0.6
TRA	ED	ND	1	0.0666666666666667
TRA	PFS	CELLDE	2	0.4
TRA	PFS	MOCELL	1	0.2
TRA	PFS	NSGA-II	2	0.4
TRA	PFS	PAES	0	0
TRA	PFS	SMPSO	2	0.4
TRA	PFS	SPEA2	2	0.4
TRA	PFS	ND	6	0.4
TRA	C	CELLDE	3	0.6
TRA	C	MOCELL	1	0.2
TRA	C	NSGA-II	1	0.2
TRA	C	PAES	0	0
TRA	C	SMPSO	5	1
TRA	C	SPEA2	4	0.8
TRA	C	ND	1	0.0666666666666667
RP	HV	CELLDE	5	1
RP	HV	MOCELL	0	0
RP	HV	NSGA-II	4	0.8
RP	HV	PAES	0	0
RP	HV	SMPSO	3	0.6
RP	HV	SPEA2	2	0.4
RP	HV	ND	1	0.0666666666666667
RP	IGD	CELLDE	4	0.8
RP	IGD	MOCELL	0	0
RP	IGD	NSGA-II	5	1
RP	IGD	PAES	0	0
RP	IGD	SMPSO	3	0.6
RP	IGD	SPEA2	2	0.4
RP	IGD	ND	1	0.0666666666666667
RP	EP	CELLDE	5	1
RP	EP	MOCELL	0	0
RP	EP	NSGA-II	3	0.6
RP	EP	PAES	0	0
RP	EP	SMPSO	4	0.8
RP	EP	SPEA2	2	0.4
RP	EP	ND	1	0.0666666666666667
RP	GD	CELLDE	4	0.8
RP	GD	MOCELL	0	0
RP	GD	NSGA-II	5	1
RP	GD	PAES	1	0.2
RP	GD	SMPSO	2	0.4
RP	GD	SPEA2	3	0.6
RP	GD	ND	0	0
RP	GS	CELLDE	3	0.6
RP	GS	MOCELL	0	0
RP	GS	NSGA-II	3	0.6
RP	GS	PAES	0	0
RP	GS	SMPSO	5	1
RP	GS	SPEA2	2	0.4
RP	GS	ND	2	0.133333333333333
RP	ED	CELLDE	4	0.8
RP	ED	MOCELL	0	0
RP	ED	NSGA-II	5	1
RP	ED	PAES	0	0
RP	ED	SMPSO	3	0.6
RP	ED	SPEA2	2	0.4
RP	ED	ND	1	0.0666666666666667
RP	PFS	CELLDE	2	0.4
RP	PFS	MOCELL	0	0
RP	PFS	NSGA-II	3	0.6
RP	PFS	PAES	3	0.6
RP	PFS	SMPSO	1	0.2
RP	PFS	SPEA2	3	0.6
RP	PFS	ND	3	0.2
RP	C	CELLDE	3	0.6
RP	C	MOCELL	0	0
RP	C	NSGA-II	3	0.6
RP	C	PAES	0	0
RP	C	SMPSO	3	0.6
RP	C	SPEA2	0	0
RP	C	ND	6	0.4
TM	HV	CELLDE	1	0.2
TM	HV	MOCELL	2	0.4
TM	HV	NSGA-II	4	0.8
TM	HV	PAES	0	0
TM	HV	SMPSO	2	0.4
TM	HV	SPEA2	4	0.8
TM	HV	ND	2	0.133333333333333
